                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4196,                 3.4431,                 1.3869,                0.03226,                0.33318,                0.11905,                0.08135,                 1.2801,                 3.6076,                 1.2671,             0.00019998,             0.00019998,             0.00019998
                      2,                  1.436,                  2.261,                 1.3644,                0.97478,                0.09793,                0.28354,                0.17272,                 1.3657,                 2.7301,                 1.2964,             0.00039555,             0.00039555,             0.00039555
                      3,                 1.4216,                 1.9474,                 1.3607,                0.48072,                 0.2196,                0.32872,                0.19257,                 1.3405,                 2.1825,                  1.353,             0.00057732,             0.00057732,             0.00057732
                      4,                 1.4203,                 1.8096,                 1.3503,                0.56839,                0.32458,                0.35916,                0.21352,                 1.3575,                  2.038,                 1.3463,              0.0007453,              0.0007453,              0.0007453
                      5,                 1.4097,                 1.7447,                  1.358,                0.62987,                0.32813,                0.37006,                0.20797,                 1.4619,                 1.8879,                 1.3904,             0.00078901,             0.00078901,             0.00078901
                      6,                 1.4197,                 1.7205,                 1.3524,                0.56469,                0.37079,                0.37214,                0.21805,                 1.4168,                 1.8061,                 1.3886,             0.00075902,             0.00075902,             0.00075902
                      7,                 1.3778,                 1.6104,                 1.3205,                0.55954,                0.40519,                0.41308,                0.23477,                 1.4002,                 1.6551,                 1.3377,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.3967,                 1.6141,                  1.345,                0.50889,                0.39343,                0.37953,                 0.2176,                 1.3882,                  1.676,                 1.3507,             0.00069902,             0.00069902,             0.00069902
                      9,                 1.3176,                 1.5335,                 1.2959,                0.49719,                0.36464,                0.39363,                0.23717,                  1.324,                 1.6303,                 1.3068,             0.00066902,             0.00066902,             0.00066902
                     10,                 1.3304,                 1.5062,                 1.2866,                0.60888,                0.40682,                0.43738,                0.25126,                 1.4401,                 1.6021,                 1.3475,             0.00063903,             0.00063903,             0.00063903
                     11,                  1.349,                 1.5285,                 1.3095,                0.63441,                0.40747,                0.42767,                0.26518,                 1.2661,                 1.5456,                 1.2611,             0.00060903,             0.00060903,             0.00060903
                     12,                 1.3531,                 1.5222,                 1.3086,                 0.5722,                0.40771,                0.42101,                0.25747,                 1.3216,                  1.523,                 1.2883,             0.00057903,             0.00057903,             0.00057903
                     13,                 1.2974,                 1.4522,                 1.2741,                0.69026,                0.35674,                0.42205,                0.25412,                 1.3731,                 1.5235,                 1.3185,             0.00054904,             0.00054904,             0.00054904
                     14,                 1.2839,                 1.4113,                 1.2706,                0.57675,                0.40891,                0.43244,                0.26212,                 1.3047,                 1.5116,                 1.2832,             0.00051904,             0.00051904,             0.00051904
                     15,                 1.3147,                 1.4542,                 1.2858,                0.59746,                0.40033,                0.43319,                0.25827,                 1.3039,                 1.5091,                  1.263,             0.00048904,             0.00048904,             0.00048904
                     16,                 1.2625,                 1.3835,                  1.257,                0.60946,                 0.4419,                0.44846,                0.27044,                 1.3326,                 1.4969,                 1.2838,             0.00045904,             0.00045904,             0.00045904
                     17,                 1.2788,                 1.3898,                 1.2562,                0.57108,                0.46191,                 0.4467,                0.26576,                 1.3743,                  1.466,                 1.3071,             0.00042905,             0.00042905,             0.00042905
                     18,                 1.2751,                 1.3682,                 1.2539,                0.60194,                 0.4627,                0.45422,                0.25777,                 1.3809,                 1.4793,                 1.3233,             0.00039905,             0.00039905,             0.00039905
                     19,                 1.2882,                 1.3764,                  1.249,                 0.6293,                0.44269,                0.45865,                0.27523,                 1.3393,                 1.4797,                 1.3109,             0.00036905,             0.00036905,             0.00036905
                     20,                 1.2666,                 1.3651,                 1.2472,                0.59166,                0.45279,                0.45696,                0.26713,                 1.3751,                 1.4515,                 1.3084,             0.00033906,             0.00033906,             0.00033906
                     21,                 1.2422,                 1.4309,                 1.2572,                  0.608,                 0.4307,                0.45389,                0.26564,                 1.3719,                 1.5513,                 1.3158,             0.00030906,             0.00030906,             0.00030906
                     22,                 1.2001,                 1.3798,                 1.2309,                0.57365,                0.42858,                 0.4505,                 0.2712,                 1.3013,                 1.4271,                 1.2674,             0.00027906,             0.00027906,             0.00027906
                     23,                 1.1873,                 1.3344,                 1.2217,                 0.6462,                0.46214,                0.45665,                0.28003,                 1.3112,                 1.3875,                 1.2647,             0.00024907,             0.00024907,             0.00024907
                     24,                 1.1887,                 1.3234,                 1.2138,                0.61169,                0.42947,                0.46318,                  0.283,                 1.3025,                 1.3719,                 1.2541,             0.00021907,             0.00021907,             0.00021907
                     25,                 1.1902,                 1.3166,                 1.2292,                 0.6381,                0.43784,                0.46473,                0.28528,                  1.291,                 1.3617,                 1.2562,             0.00018907,             0.00018907,             0.00018907
                     26,                 1.1697,                 1.2901,                 1.2072,                 0.6602,                0.42144,                0.45867,                 0.2834,                 1.2942,                 1.3627,                 1.2554,             0.00015907,             0.00015907,             0.00015907
                     27,                 1.1778,                 1.2866,                 1.2055,                0.65073,                0.42672,                0.46493,                 0.2893,                 1.2833,                 1.3486,                 1.2583,             0.00012908,             0.00012908,             0.00012908
                     28,                 1.1697,                 1.2871,                 1.2168,                0.66393,                0.43574,                0.46748,                0.29196,                  1.274,                 1.3217,                 1.2518,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                 1.1556,                 1.2609,                 1.1951,                0.67466,                0.42188,                0.46694,                0.28996,                  1.282,                  1.321,                 1.2505,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                 1.1636,                 1.2561,                 1.2086,                 0.6642,                0.42492,                0.46667,                0.29226,                 1.2817,                  1.322,                 1.2483,             3.9087e-05,             3.9087e-05,             3.9087e-05
